r         sigmar      sigmatheta   sigmaz  taurtheta    taurz    tauthetaz
 2.32432  -0.000000  -0.000000   0.770683   0.000000  -0.000000   0.000000 
 2.33634  -0.000000  -0.000000   0.774666   0.000000  -0.000000   0.000000 
 2.34835  -0.000000  -0.000000   0.778648   0.000000  -0.000000   0.000000 
 2.36036  -0.000000  -0.000000   0.782631   0.000000  -0.000000   0.000000 
 2.37237  -0.000000  -0.000000   0.786614   0.000000  -0.000000   0.000000 
 2.38438  -0.000000  -0.000000   0.790597   0.000000  -0.000000   0.000000 
 2.39640  -0.000000  -0.000000   0.794580   0.000000  -0.000000   0.000000 
 2.40841  -0.000000  -0.000000   0.798563   0.000000  -0.000000   0.000000 
 2.42042  -0.000000  -0.000000   0.802546   0.000000  -0.000000   0.000000 
 2.43243  -0.000000  -0.000000   0.806528   0.000000  -0.000000   0.000000 
 2.44444  -0.000000  -0.000000   0.810511   0.000000  -0.000000   0.000000 
 2.45646  -0.000000  -0.000000   0.814494   0.000000  -0.000000   0.000000 
 2.46847  -0.000000  -0.000000   0.818477   0.000000  -0.000000   0.000000 
 2.48048  -0.000000  -0.000000   0.822460   0.000000  -0.000000   0.000000 
 2.49249  -0.000000  -0.000000   0.826443   0.000000  -0.000000   0.000000 
 2.50450  -0.000000  -0.000000   0.830426   0.000000  -0.000000   0.000000 
 2.51652  -0.000000  -0.000000   0.834408   0.000000  -0.000000   0.000000 
 2.52853  -0.000000  -0.000000   0.838391   0.000000  -0.000000   0.000000 
 2.54054  -0.000000  -0.000000   0.842374   0.000000  -0.000000   0.000000 
 2.55255  -0.000000  -0.000000   0.846357   0.000000  -0.000000   0.000000 
 2.56456  -0.000000  -0.000000   0.850340   0.000000  -0.000000   0.000000 
 2.57658  -0.000000  -0.000000   0.854323   0.000000  -0.000000   0.000000 
 2.58859  -0.000000  -0.000000   0.858306   0.000000  -0.000000   0.000000 
 2.60060  -0.000000  -0.000000   0.862288   0.000000  -0.000000   0.000000 
 2.61261  -0.000000  -0.000000   0.866271   0.000000  -0.000000   0.000000 
 2.62462  -0.000000  -0.000000   0.870254   0.000000  -0.000000   0.000000 
 2.63664  -0.000000  -0.000000   0.874237   0.000000  -0.000000   0.000000 
 2.64865  -0.000000  -0.000000   0.878220   0.000000  -0.000000   0.000000 
 2.66066  -0.000000  -0.000000   0.882203   0.000000  -0.000000   0.000000 
 2.67267  -0.000000  -0.000000   0.886186   0.000000  -0.000000   0.000000 
 2.68468  -0.000000  -0.000000   0.890168   0.000000  -0.000000   0.000000 
 2.69670  -0.000000  -0.000000   0.894151   0.000000  -0.000000   0.000000 
 2.70871  -0.000000  -0.000000   0.898134   0.000000  -0.000000   0.000000 
 2.72072  -0.000000  -0.000000   0.902117   0.000000  -0.000000   0.000000 
 2.73273  -0.000000  -0.000000   0.906100   0.000000  -0.000000   0.000000 
 2.74474  -0.000000  -0.000000   0.910083   0.000000  -0.000000   0.000000 
 2.75676  -0.000000  -0.000000   0.914066   0.000000  -0.000000   0.000000 
 2.76877  -0.000000  -0.000000   0.918048   0.000000  -0.000000   0.000000 
 2.78078  -0.000000  -0.000000   0.922031   0.000000  -0.000000   0.000000 
 2.79279  -0.000000  -0.000000   0.926014   0.000000  -0.000000   0.000000 
 2.80480  -0.000000  -0.000000   0.929997   0.000000  -0.000000   0.000000 
 2.81682  -0.000000  -0.000000   0.933980   0.000000  -0.000000   0.000000 
 2.82883  -0.000000  -0.000000   0.937963   0.000000  -0.000000   0.000000 
 2.84084  -0.000000  -0.000000   0.941946   0.000000  -0.000000   0.000000 
 2.85285  -0.000000  -0.000000   0.945928   0.000000  -0.000000   0.000000 
 2.86486  -0.000000  -0.000000   0.949911   0.000000  -0.000000   0.000000 
 2.87688  -0.000000  -0.000000   0.953894   0.000000  -0.000000   0.000000 
 2.88889  -0.000000  -0.000000   0.957877   0.000000  -0.000000   0.000000 
 2.90090  -0.000000  -0.000000   0.961860   0.000000  -0.000000   0.000000 
 2.91291  -0.000000  -0.000000   0.965843   0.000000  -0.000000   0.000000 
 2.92492  -0.000000  -0.000000   0.969826   0.000000  -0.000000   0.000000 
 2.93694  -0.000000  -0.000000   0.973808   0.000000  -0.000000   0.000000 
