r         sigmar      sigmatheta   sigmaz  taurtheta    taurz    tauthetaz
3897.89790   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3909.90991   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3921.92192   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3933.93393   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3945.94595   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3957.95796   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3969.96997   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3981.98198   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3993.99399   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4006.00601   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4018.01802   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4030.03003   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4042.04204   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4054.05405   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4066.06607   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4078.07808   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4090.09009   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4102.10210   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4114.11411   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4126.12613   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4138.13814   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4150.15015   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4162.16216   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4174.17417   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4186.18619   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4198.19820   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4210.21021   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4222.22222   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4234.23423   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4246.24625   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4258.25826   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4270.27027   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4282.28228   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4294.29429   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4306.30631   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4318.31832   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4330.33033   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4342.34234   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4354.35435   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4366.36637   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4378.37838   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4390.39039   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4402.40240   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4414.41441   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4426.42643   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4438.43844   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4450.45045   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4462.46246   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4474.47447   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4486.48649   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4498.49850   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4510.51051   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4522.52252   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4534.53453   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4546.54655   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4558.55856   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4570.57057   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4582.58258   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4594.59459   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4606.60661   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4618.61862   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4630.63063   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4642.64264   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4654.65465   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4666.66667   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4678.67868   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4690.69069   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4702.70270   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4714.71471   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4726.72673   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4738.73874   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4750.75075   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4762.76276   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4774.77477   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4786.78679   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4798.79880   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4810.81081   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4822.82282   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4834.83483   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4846.84685   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4858.85886   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
4870.87087   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
